Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
79,2628181030,EmceeDusty44 (16/150),0,142.85,P Cristian Javier P Griffin Canning OF Mike Trout 1B Vladimir Guerrero Jr. 3B Anthony Rendon 2B Jose Altuve C Danny Jansen OF Justin Upton SS José Iglesias OF Dexter Fowler,,Kyle McCann,C,0.01%,0
79,2628344731,bgeistusn (97/150),0,142.85,P Cristian Javier P Griffin Canning OF Mike Trout OF Yordan Alvarez 2B Jose Altuve 3B Cavan Biggio 1B Jared Walsh C Kurt Suzuki OF Justin Upton SS José Iglesias,,Mike Mayers,P,0.01%,3.65
79,2628759555,Cowboy6150,0,142.85,P Cristian Javier P Griffin Canning OF Yordan Alvarez 2B Jose Altuve SS Carlos Correa 3B Cavan Biggio 1B Shohei Ohtani OF Kyle Tucker OF Justin Upton C Max Stassi,,Junior Guerra,P,0.01%,10.25
79,2628933874,bowl800s (94/150),0,142.85,P Cristian Javier P Griffin Canning OF Mike Trout OF Yordan Alvarez 2B Jose Altuve 3B Cavan Biggio 1B Jared Walsh C Kurt Suzuki OF Justin Upton SS José Iglesias,,J.B. Wendelken,P,0.01%,-1.7
85,2628181136,EmceeDusty44 (122/150),0,142.3,P Cristian Javier P Ross Stripling OF Mike Trout 3B Vladimir Guerrero Jr. SS Carlos Correa 2B David Fletcher OF Kyle Tucker 1B Jared Walsh C Danny Jansen OF Myles Straw,,Jose Rojas,3B,0.01%,0
85,2628214581,otis_spunkmeyer,0,142.3,P Cristian Javier P Ross Stripling SS Bo Bichette OF Yordan Alvarez 1B Vladimir Guerrero Jr. 2B Jose Altuve 3B Cavan Biggio C Jason Castro OF Justin Upton OF Myles Straw,,Juan Graterol,C,0.01%,0
85,2628700870,moe408,0,142.3,P Cristian Javier P Ross Stripling 1B Vladimir Guerrero Jr. 2B Jose Altuve OF Teoscar Hernández SS Carlos Correa 3B Cavan Biggio OF Shohei Ohtani C Kurt Suzuki OF Dexter Fowler,,Logan Warmoth,OF,0.01%,0
85,2628930823,winnawinnachickdinna,0,142.3,P Cristian Javier P Ross Stripling OF Mike Trout 1B Vladimir Guerrero Jr. 3B Anthony Rendon 2B Jose Altuve SS Carlos Correa C Sean Murphy OF Myles Straw OF Tony Kemp,,Colin Barber,OF,0.01%,0
85,2628942492,soaks0933 (3/3),0,142.3,P Cristian Javier P Ross Stripling OF Mike Trout 3B Vladimir Guerrero Jr. SS Carlos Correa 1B Shohei Ohtani 2B David Fletcher OF Jared Walsh C Jason Castro OF Myles Straw,,Tyler White,1B,0.01%,0
90,2628841298,cowboys282 (85/100),0,142,P Griffin Canning P Cole Irvin OF Mike Trout 1B Vladimir Guerrero Jr. 2B Jose Altuve SS Carlos Correa 3B Cavan Biggio OF Mark Canha C Sean Murphy OF Justin Upton,,Forrest Wall,OF,0.01%,0
91,2628082144,asilva1316 (5/6),0,141.85,P Cristian Javier P Griffin Canning OF Mike Trout 3B Anthony Rendon 2B Jose Altuve SS Carlos Correa 1B Shohei Ohtani C Kurt Suzuki OF Myles Straw OF Dexter Fowler,,A.J. Puk,P,0.01%,0
91,2628210626,mjrlaw23 (23/150),0,141.85,P Cristian Javier P Griffin Canning OF Mike Trout 3B Anthony Rendon 2B Jose Altuve SS Carlos Correa 1B Shohei Ohtani C Kurt Suzuki OF Myles Straw OF Dexter Fowler,,Miguel Hiraldo,3B,0.01%,0
91,2628377390,DomingoSalvajeS (15/20),0,141.85,P Cristian Javier P Griffin Canning OF Mike Trout 3B Anthony Rendon 2B Jose Altuve SS Carlos Correa 1B Shohei Ohtani C Kurt Suzuki OF Myles Straw OF Dexter Fowler,,Carlos Pérez,C,0.01%,0
91,2628385235,T-Bird33,0,141.85,P Cristian Javier P Griffin Canning OF Mike Trout OF Yordan Alvarez OF Teoscar Hernández SS Carlos Correa 3B Cavan Biggio C Kurt Suzuki 2B Joe Panik 1B Seth Brown,,David Phelps,P,0.01%,4.25
91,2628673967,darollins01,0,141.85,P Cristian Javier P Griffin Canning OF Mike Trout 3B Vladimir Guerrero Jr. SS Carlos Correa 2B David Fletcher 1B Jared Walsh OF Ramón Laureano C Kurt Suzuki OF Myles Straw,,Anthony Castro,P,0.01%,0
91,2628743771,jdepagter10 (2/2),0,141.85,P Cristian Javier P Griffin Canning OF Mike Trout 3B Anthony Rendon 2B Jose Altuve SS Carlos Correa 1B Shohei Ohtani C Kurt Suzuki OF Myles Straw OF Dexter Fowler,,Greg Deichmann,OF,0.01%,0
91,2628826479,Mark502Blue,0,141.85,P Cristian Javier P Griffin Canning OF Mike Trout 3B Anthony Rendon 2B Jose Altuve SS Carlos Correa 1B Shohei Ohtani C Kurt Suzuki OF Myles Straw OF Dexter Fowler,,Steve Cishek,P,0.01%,1.65
91,2628832996,mdb770 (131/150),0,141.85,P Cristian Javier P Griffin Canning OF Mike Trout SS Carlos Correa 3B Cavan Biggio 1B Shohei Ohtani 2B David Fletcher OF Ramón Laureano C Kurt Suzuki OF Myles Straw,,Brooks Raley,P,0.01%,0.45
91,2628839454,Browndog19,0,141.85,P Cristian Javier P Griffin Canning OF Mike Trout 3B Anthony Rendon 2B Jose Altuve SS Carlos Correa 1B Shohei Ohtani C Kurt Suzuki OF Myles Straw OF Dexter Fowler,,Juan Lagares,OF,0.01%,0
